#;Url;IC 1;IC 2;EC 1
74;https://www.researchgate.net/publication/320299262_How_to_Efficiently_Build_a_Front-End_Tool_for_UPPAAL_A_Model-Driven_Approach;;;x
75;https://www.cimdata.com/en/education/plm-conferences/plmrm-pdt-spring-2021/sponsors/siemens;x;x;-
76;http://wikicfp.com/cfp/servlet/event.showcfp?eventid=77843&copyownerid=45217;;;x
77;https://deepai.org/publication/low-code-engineering-for-internet-of-things-a-state-of-research;;;x
78;https://se.jku.at/wp-content/uploads/2020/10/DevOpsML-Towards-Modeling-DevOps-Processes-and-Platforms_3-2.pdf;;;x
79;https://www.apms-conference.org/apms-2021/program/special-sessions-tracks-proposal/;;;x
80;https://www.researchgate.net/publication/259716212_A_Systematic_Review_of_Model-Driven_Security;;;x
81;https://www.researchgate.net/figure/Application-of-Class2Relational-to-a-minimal-model-For-each-rule-application-a-trace_fig1_273058964;;;x
82;https://www.researchgate.net/figure/The-meta-relation-between-M2-and-M3_fig11_221202294;;;x
83;https://www.researchgate.net/topic/Model-Driven-Architecture/publications;;;x
84;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=11265&copyownerid=6247;;;x
85;http://www.wikicfp.com/cfp/program?id=2119;;;x
86;https://scholar.google.com/citations?user=JVTAEMMAAAAJ&hl=iw;;;x
87;https://books.google.it/books?id=0CTtDwAAQBAJ&pg=PA301&lpg=PA301&dq=%7C+%22model+based%22+AND+%22low+code%22+%22model+driven%22&source=bl&ots=UVEkP0OvmX&sig=ACfU3U1wDyfmXjITlI5hSrVwGAETgFIkAg&hl=en&sa=X&ved=2ahUKEwj555HUzIHyAhVjIMUKHT3QDrg4ZBDoATBjegUIzgEQAw;;;x
88;https://modeling-languages.com/low-code-vs-model-driven/#:~:text=Low%2DCode%20vs%20Model%2DDriven%20vs,Model%2DBased%20vs%20No%2Dcode&text=Model%2Ddriven%20engineering%20(MDE)%3A,and%20drive%20the%20engineering%20tasks.&text=Model%2Dbased%20engineering%2Fdevelopment%3A,of%20the%20previous%20respective%20concepts.;;;x
89;https://modeling-languages.com/clarifying-concepts-mbe-vs-mde-vs-mdd-vs-mda/;;;x
90;https://modeling-languages.com/nocode-lowcode-modeling/;;;
91;https://news.ycombinator.com/item?id=24849481;;;
92;https://www.thaipr.net/en/business_en/3019857;x;x;-
93;https://ict.eu/case/what-is-the-difference-between-model-based-testing-and-model-driven-engineering/;x;;
94;https://www.slideshare.net/jcabot/lowcode-vs-modeldriven-engineering;;;x
95;https://link.springer.com/article/10.1007/s10270-020-00855-w;;;x
96;https://www.computer.org/csdl/magazine/so/2021/02/09354405/1reXnTQdVkc;;;x
97;https://chowdera.com/2020/11/202011161725464400.html;;;x
98;https://www.researchgate.net/publication/348520129_Model-driven_development_platform_selection_four_industry_case_studies;;;x
99;https://link.springer.com/10.1007/978-3-319-60013-0_208-1;;;x
100;https://www.researchgate.net/publication/224101620_Model-driven_development_The_good_the_bad_and_the_ugly;;;x
101;https://www.researchgate.net/publication/221292685_Pondering_on_the_Key_Functionality_of_Model_Driven_Development_Tools_The_Case_of_Mendix;;;x
102;https://www.researchgate.net/publication/3248037_Model_Transformation_The_Heart_and_Soul_of_Model-Driven_Software_Development;;;x
103;https://www.researchgate.net/publication/344842798_Supporting_the_understanding_and_comparison_of_low-code_development_platforms;;;x
104;https://hal.archives-ouvertes.fr/hal-02929856/file/Lowcode_Engineering_for_Internet_of_things__A_state_of_research.pdf;;;x
105;https://searchsoftwarequality.techtarget.com/definition/model-driven-development;x;;
106;https://www.lowcomote.eu/workshops/02/;;;x
107;https://www.lowcomote.eu/publications/;;;x
108;https://ictgroup.eu/cases/what-is-the-difference-between-model-based-testing-and-model-driven-engineering/;x;;
109;https://www.researchgate.net/publication/275333036_MDEForge_An_extensible_Web-based_modeling_platform;;;x
110;https://www.researchgate.net/publication/326255284_Generative_versus_Interpretive_Model-Driven_Development_Moving_Past_'It_Depends';;;x
111;https://www.researchgate.net/publication/344150353_Low-code_Engineering_for_Internet_of_things_A_state_of_research;;;x
112;https://www.researchgate.net/publication/345025971_Understanding_the_role_of_model_transformation_compositions_in_low-code_development_platforms;;;x
113;https://quidgest.com/en/events/previous-events/meetup-model-driven-development-en/;;;
114;https://link.springer.com/content/pdf/10.1007/978-3-319-19890-3_39.pdf;;;x
115;https://www.beinformed.com/how-it-works/;x;;
116;https://www.lowcomote.eu/esr/09/;;;x
117;https://arxiv.org/pdf/2009.01876;;;x
118;https://dblp.org/db/conf/models/models2020c.html;;;x
119;https://hightechsoftwarecluster.nl/en/category/technology/model-based-development/;x;;
120;https://projects.eclipse.org/projects/technology.osbp;x;;
121;https://www.researchgate.net/publication/334131991_Innovations_in_Model-based_Software_And_Systems_Engineering;;;x
122;https://www.researchgate.net/publication/224262694_Security_in_Model_Driven_Development_A_Survey;;;x
123;https://plm-erpnews.se/low-code-platforms-hot-solutions-expected-to-be-doubled-within-two-years-mendix-visionary-market-leader-according-to-gartner/;x;x;-
124;https://www.integranova.com/en/integranova-m-e-s/blog/2021/03/model-driven-code-generation/;x;;
125;https://dl.acm.org/doi/10.1145/3417990.3420208;;;x
126;https://modeling-languages.com/page/2/?et_blog;;;x
127;https://hal.archives-ouvertes.fr/hal-02946812/document;;;x
128;https://www.lowcomote.eu/workshop/;;;x
129;https://www.designnews.com/automation-motion-control/siemens-plm-becomes-siemens-digital-industries-software;x;x;-
130;https://www.syntouch.nl/low-code-no-code-in-an-enterprise-landscape/;x;x;-
131;https://www.alibabacloud.com/blog/what-is-low-code_597659;x;x;-
132;https://www.researchgate.net/publication/300785413_Model-Driven_Development_Based_on_OMG's_IFML_with_WebRatio_Web_and_Mobile_Platform;;;x
133;https://www.researchgate.net/publication/220694298_Model-Driven_Software_Development_Technology_Engineering_Management;;;x
134;https://www.researchgate.net/publication/262166275_Adaptable_model-driven_security_engineering_for_SaaS_cloud-based_applications;;;x
135;https://www.researchgate.net/publication/320756996_Software_Development_Tools_in_Model-Driven_Engineering;;;x
136;https://dblp.org/pid/r/DavideDiRuscio;;;x
137;https://dl.acm.org/doi/proceedings/10.1145/3417990?tocHeading=heading12;;;x
138;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=90947;;;x
139;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=132547&copyownerid=45217;;;x
140;https://www.scitepress.org/Papers/2021/104428/pdf/index.html;;;x
